id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
1,אָב,awb,ʼâb,"father, in a literal and immediate, or figurative and remote application",a primitive word;,H1,"chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'."
2,אַב,ab,ʼab,{father},(Aramaic) corresponding to H1 (אָב),H2,father.
3,אֵב,abe,ʼêb,a green plant,from the same as H24 (אָבִיב);,H3,"greenness, fruit."
4,אֵב,abe,ʼêb,{a green plant},(Aramaic) corresponding to H3 (אֵב),H4,fruit.
5,אֲבַגְתָא,ab-ag-thaw',ʼĂbagthâʼ,"Abagtha, a eunuch of Xerxes",of foreign origin;,H5,Abagtha.
6,אָבַד,aw-bad',ʼâbad,"properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)",a primitive root;,H6,"break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee."
7,אֲבַד,ab-ad',ʼăbad,"{properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)}",(Aramaic) corresponding to H6 (אָבַד),H7,"destroy, perish."
8,אֹבֵד,o-bade',ʼôbêd,(concrete) wretched or (abstract) destruction,active of participle of H6 (אָבַד);,H8,perish.
9,אֲבֵדָה,ab-ay-daw',ʼăbêdâh,"concrete, something lost; abstract, destruction, i.e. Hades",from H6 (אָבַד); Compare H10 (אֲבַדֹּה).,H9,lost.
10,אֲבַדֹּה,ab-ad-do',ʼăbaddôh,a perishing,"the same as H9 (אֲבֵדָה), miswritten for H11 (אֲבַדּוֹן);",H10,destruction.
11,אֲבַדּוֹן,ab-ad-done',ʼăbaddôwn,"abstract, a perishing; concrete, Hades",intensive from H6 (אָבַד);,H11,destruction.
12,אַבְדָן,ab-dawn',ʼabdân,a perishing,from H6 (אָבַד);,H12,destruction.
13,אׇבְדַן,ob-dawn',ʼobdan,a perishing,from H6 (אָבַד);,H13,destruction.
14,אָבָה,aw-baw',ʼâbâh,"to breathe after, i.e. (figuratively) to be acquiescent",a primitive root;,H14,"consent, rest content will, be willing."
15,אָבֶה,aw-beh',ʼâbeh,longing,from H14 (אָבָה);,H15,desire.
16,אֵבֶה,ay-beh',ʼêbeh,the papyrus,from H14 (אָבָה) (in the sense of bending toward);,H16,swift.
17,אֲבוֹי,ab-o'ee,ʼăbôwy,want,from H14 (אָבָה) (in the sense of desiring);,H17,sorrow.
18,אֵבוּס,ay-booce',ʼêbûwç,a manger or stall,from H75 (אָבַס);,H18,crib.
19,אִבְחָה,ib-khaw',ʼibchâh,brandishing of a sword,from an unused root (apparently meaning to turn);,H19,point.
20,אֲבַטִּיחַ,ab-at-tee'-akh,ʼăbaṭṭîyach,a melon (only plural),of uncertain derivation;,H20,melon.
21,אֲבִי,ab-ee',ʼĂbîy,"Abi, Hezekiah's mother",from H1 (אָב); fatherly;,H21,Abi.
22,אֲבִיאֵל,ab-ee-ale',ʼĂbîyʼêl,"Abiel, the name of two Israelites",from H1 (אָב) and H410 (אֵל); father (i.e. possessor) of God;,H22,Abiel.
23,אֲבִיאָסָף,ab-ee-aw-sawf',ʼĂbîyʼâçâph,"Abiasaph, an Israelite",from H1 (אָב) and H622 (אָסַף); father of gathering (i.e. gatherer);,H23,Abiasaph.
