id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
1,al'-fah,Α,A,"[Α] of Hebrew origin; the first letter of the alphabet; figuratively, only (from its use as a numeral) the first:  Often used (usually ἄν, before a vowel) also in composition (as a contraction from {{g427}}) in the sense of privation; so, in many words, beginning with this letter; occasionally in the sense of union (as a contraction of {{g260}}).",g1,Alpha 4
2,ah-ar-ohn',Ἀαρών,Aarṓn,"[Ἀαρών] of Hebrew origin ({{h175}}); Aaron, the brother of Moses",g2,Aaron 5
3,ab-ad-dohn',Ἀβαδδών,Abaddṓn,[Ἀβαδδών] of Hebrew origin ({{h11}}); a destroying angel,g3,Abaddon 1
4,ab-ar-ace',ἀβαρής,abarḗs,"[ἀβαρής] from {{g1}} (as a negative particle) and {{g922}}; weightless, i.e. (figuratively) not burdensome",g4,not burdensome 1
5,ab-bah',Ἀββᾶ,Abbâ,[Ἀββᾶ] of Chaldee origin ({{h2}}); father as a vocative,g5,Abba 3
6,ab'-el,Ἄβελ,Ábel,"[Ἄβελ] of Hebrew origin ({{h1893}}); Abel, the son of Adam",g6,Abel 4
7,ab-ee-ah',Ἀβιά,Abiá,"[Ἀβιά] of Hebrew origin ({{h29}}); Abijah, the name of two Israelites",g7,Abia 3
8,ab-ee-ath'-ar,Ἀβιαθάρ,Abiathár,"[Ἀβιαθάρ] of Hebrew origin ({{h54}}); Abiathar, an Israelite",g8,Abiathar 1
9,ab-ee-lay-nay',Ἀβιληνή,Abilēnḗ,"[Ἀβιληνή] of foreign origin (compare {{h58}}); Abilene, a region of Syria",g9,Abilene 1
10,ab-ee-ood',Ἀβιούδ,Abioúd,"[Ἀβιούδ] of Hebrew origin ({{h31}}); Abihud, an Israelite",g10,Abiud 2
11,ab-rah-am',Ἀβραάμ,Abraám,"[Ἀβραάμ] of Hebrew origin ({{h85}}); Abraham, the Hebrew patriarch (In Acts 7:16 the text should probably read Jacob.)",g11,Abraham 73
12,ab'-us-sos,ἄβυσσος,ábyssos,"""[ἄβυσσος] from {{g1}} (as a negative particle) and a variation of {{g1037}}; depthless, i.e. (specially) (infernal) ""abyss"""",g12,""bottomless pit 5, deep 2, bottomless 2",NULL,
13,ag'-ab-os,Ἄγαβος,Ágabos,"[Ἄγαβος] of Hebrew origin (compare {{h2285}}); Agabus, an Israelite",g13,Agabus 2
14,ag-ath-er-gheh'-o,ἀγαθοεργέω,agathoergéō,[ἀγαθοεργέω] from {{g18}} and {{g2041}}; to work good,g14,do good 1
15,ag-ath-op-oy-eh'-o,ἀγαθοποιέω,agathopoiéō,[ἀγαθοποιέω] from {{g17}}; to be a well-doer (as a favor or a duty),g15,"do good 7, well doing 2, do well 2"
16,ag-ath-op-oy-ee'-ah,ἀγαθοποιΐα,agathopoiḯa,"[ἀγαθοποιΐα] from {{g17}}; well-doing, i.e. virtue",g16,well doing 1
17,ag-ath-op-oy-os',ἀγαθοποιός,agathopoiós,"[ἀγαθοποιός] from {{g18}} and {{g4160}}; a well-doer, i.e. virtuous",g17,do well 1
18,ag-ath-os',ἀγαθός,agathós,"""[ἀγαθός] a primary word; ""good"" (in any sense, often as noun) Compare {{g2570}}."",g18,""good 77, good thing 14, that which is good + \\3588\\ 8, the thing which is good + \\3588\\ 1, well 1, benefit 1",NULL,
19,ag-ath-o-soo'-nay,ἀγαθωσύνη,agathōsýnē,"[ἀγαθωσύνη] from {{g18}}; goodness, i.e. virtue or beneficence",g19,goodness 4
20,ag-al-lee'-as-is,ἀγαλλίασις,agallíasis,"[ἀγαλλίασις] from {{g21}}; exultation; specially, welcome",g20,"gladness 3, joy 1, exceeding joy 1"
21,ag-al-lee-ah'-o,ἀγαλλιάω,agalliáō,"[ἀγαλλιάω] from agan (much) and {{g242}}; properly, to jump for joy, i.e. exult",g21,"rejoice 7, be exceeding glad 1, be glad 1, greatly rejoice 1, with exceeding joy 1"
22,ag'-am-os,ἄγαμος,ágamos,[ἄγαμος] from {{g1}} (as a negative particle) and {{g1062}}; unmarried,g22,unmarried 4
23,ag-an-ak-teh'-o,ἀγανακτέω,aganaktéō,"[ἀγανακτέω] from ἄγαν (much) and ἄχθος (grief; akin to the base of {{g43}}); to be greatly afflicted, i.e. (figuratively) indignant",g23,"have indignation 2, be much displeased 2, with indignation 2, be sore displeased 1"
24,ag-an-ak'-tay-sis,ἀγανάκτησις,aganáktēsis,[ἀγανάκτησις] from {{g23}}; indignation,g24,indignation 1
25,ag-ap-ah'-o,ἀγαπάω,agapáō,[ἀγαπάω] perhaps from ἄγαν (much) (or compare {{h5689}}); to love (in a social or moral sense) Compare {{g5368}}.,g25,"love 135, beloved 7"
26,ag-ah'-pay,ἀγάπη,agápē,"[ἀγάπη] from {{g25}}; love, i.e. affection or benevolence; specially (plural) a love-feast",g26,"love 86, charity 27, dear 1, charitably+ \\2596\\ 1, feast of charity 1"
27,ag-ap-ay-tos',ἀγαπητός,agapētós,[ἀγαπητός] from {{g25}}; beloved,g27,"beloved 47, dearly beloved 9, well beloved 3, dear 3"
28,ag'-ar,Ἄγαρ,Ágar,"[Ἄγαρ] of Hebrew origin ({{h1904}}); Hagar, the concubine of Abraham",g28,Agar 2
29,ang-ar-yew'-o,ἀγγαρεύω,angareúō,"[ἀγγαρεύω] of foreign origin (compare {{h104}}); properly, to be a courier, i.e. (by implication) to press into public service",g29,compel to go 3
30,ang-eye'-on,ἀγγεῖον,angeîon,"[ἀγγεῖον] from ἄγγος (a pail, perhaps as bent; compare the base of {{g43}}); a receptacle",g30,vessel 2
31,ang-el-ee'-ah,ἀγγελία,angelía,"[ἀγγελία] from {{g32}}; an announcement, i.e. (by implication) precept",g31,message 1
32,ang'-el-os,ἄγγελος,ángelos,"""[ἄγγελος] from ἀγγέλλω (probably derived from {{g71}}; compare {{g34}}) (to bring tidings); a messenger; especially an ""angel""; by implication, a pastor"",g32,""angel 179, messenger 7",NULL,
33,ag'-eh,ἄγε,áge,"[ἄγε] imperative of {{g71}}; properly, lead, i.e. come on",g33,go to 2
34,ag-el'-ay,ἀγέλη,agélē,[ἀγέλη] from {{g71}} (compare {{g32}}); a drove,g34,herd 8
35,ag-en-eh-al-og'-ay-tos,ἀγενεαλόγητος,agenealógētos,[ἀγενεαλόγητος] from {{g1}} (as negative particle) and {{g1075}}; unregistered as to birth,g35,without descent 1
36,ag-en-ace',ἀγενής,agenḗs,"[ἀγενής] from {{g1}} (as negative particle) and {{g1085}}; properly, without kin, i.e. (of unknown descent, and by implication) ignoble",g36,base things 1
37,hag-ee-ad'-zo,ἁγιάζω,hagiázō,"[ἁγιάζω] from {{g40}}; to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate",g37,"sanctify 26, hallow 2, be holy 1"
38,hag-ee-as-mos',ἁγιασμός,hagiasmós,"[ἁγιασμός] from {{g37}}; properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier",g38,"holiness 5, sanctification 5"
39,hag'-ee-on,ἅγιον,hágion,[ἅγιον] neuter of {{g40}}; a sacred thing (i.e. spot),g39,"sanctuary 4, holy place 3, holiest of all 3, holinest 1"
40,hag'-ee-os,ἅγιος,hágios,"[ἅγιος] from ἅγος (an awful thing) (compare {{g53}}, {{g2282}}); sacred (physically, pure, morally blameless or religious, ceremonially, consecrated)",g40,"holy 161, saints 61, Holy One 4, misc 3"
41,hag-ee-ot'-ace,ἁγιότης,hagiótēs,"[ἁγιότης] from {{g40}}; sanctity (i.e. properly, the state)",g41,holiness 1
42,hag-ee-o-soo'-nay,ἁγιωσύνη,hagiōsýnē,"[ἁγιωσύνη] from {{g40}}; sacredness (i.e. properly, the quality)",g42,holiness 3
43,ang-kal'-ay,ἀγκάλη,ankálē,"""[ἀγκάλη] from ἄγκος (a bend, ""ache""); an arm (as curved)"",g43,""arm 1",NULL,
44,ang'-kis-tron,ἄγκιστρον,ánkistron,[ἄγκιστρον] from the same as {{g43}}; a hook (as bent),g44,hook 1
45,ang'-koo-rah,ἄγκυρα,ánkyra,"""[ἄγκυρα] from the same as {{g43}}; an ""anchor"" (as crooked)"",g45,""anchor 4",NULL,
46,ag'-naf-os,ἄγναφος,ágnaphos,"[ἄγναφος] from {{g1}} (as a negative particle) and the same as {{g1102}}; properly, unfulled, i.e. (by implication) new (cloth)",g46,new 2
47,hag-ni'-ah,ἁγνεία,hagneía,"[ἁγνεία] from {{g53}}; cleanliness (the quality), i.e. (specially) chastity",g47,purity 2
